articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
8-8-2014_PS,120,120,n,0,MATCH,NA
8-8-2014_PS,80,80,n,0,MATCH,NA
8-8-2014_PS,0.35,0.35,mean,NA,MATCH,TRUE
8-8-2014_PS,0.15,0.15,mean,NA,MATCH,TRUE
8-8-2014_PS,0.2,0.2,mean,NA,MATCH,TRUE
8-8-2014_PS,-0.58,-0.58,mean,NA,MATCH,TRUE
8-8-2014_PS,113,113,df,0,MATCH,NA
8-8-2014_PS,< .001,1.4654597812670063e-4,p,NA,MATCH,TRUE
8-8-2014_PS,3.93,3.93,t,0,MATCH,NA
8-8-2014_PS,0.12,0.12,pes,0,MATCH,NA
8-8-2014_PS,113,113,df,0,MATCH,NA
8-8-2014_PS,.007,0.00545110488920191,p,NA,MATCH,TRUE
8-8-2014_PS,2.73,2.8337036349685216,t,NA,MATCH,TRUE
8-8-2014_PS,.06,0.06634623232645537,pes,NA,MATCH,TRUE
8-8-2014_PS,113,113,df,0,MATCH,NA
8-8-2014_PS,ns,0.7938149170976957,p,NA,MATCH,TRUE
8-8-2014_PS,.56,0.2619785781280009,t,NA,MATCH,TRUE
8-8-2014_PS,.003,6.070010197638344e-4,pes,NA,MATCH,TRUE
